2016-06-29 13:04:08,038 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.journaldev.spring:SpringMVCHibernate:1.0.0-BUILD-SNAPSHOT @ C:\Users\HHEXUSER\Desktop\hhintern\SpringMVCHibernate\pom.xml.
2016-06-29 13:04:08,038 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.journaldev.spring:SpringMVCHibernate:1.0.0-BUILD-SNAPSHOT @ C:\Users\HHEXUSER\Desktop\hhintern\SpringMVCHibernate\pom.xml.
2016-06-29 13:04:14,465 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-29 13:04:14,465 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-06-29 13:04:14,480 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-29 13:04:14,480 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\HHEXUSER\Desktop\hhintern\SpringMVCHibernate\src\test\resources
2016-06-29 13:04:16,384 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.journaldev.spring:SpringMVCHibernate:1.0.0-BUILD-SNAPSHOT @ C:\Users\HHEXUSER\Desktop\hhintern\SpringMVCHibernate\pom.xml.
2016-06-29 13:04:24,215 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-29 13:04:24,230 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-06-29 13:04:24,246 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-29 13:04:24,246 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\HHEXUSER\Desktop\hhintern\SpringMVCHibernate\src\test\resources
